,Surface ectoderm_corr,Surface ectoderm_pval,Surface ectoderm_qval,Surface ectoderm_ci_low,Surface ectoderm_ci_high,gene_annotation
ENSMUSG00000074277,0.6412588633173524,0.0,0.0,0.6373801048678399,0.645105125258175,Phldb3
ENSMUSG00000040525,0.6100419669140438,0.0,0.0,0.605906731529508,0.6141442368409209,Cblc
ENSMUSG00000047281,0.6087068028343607,0.0,0.0,0.6045608863959733,0.6128197407156571,Sfn
ENSMUSG00000022510,0.6059572298385982,0.0,0.0,0.601789391912162,0.6100920639954591,Trp63
ENSMUSG00000027579,0.605953093301485,0.0,0.0,0.6017852224713484,0.6100879603259006,Srms
ENSMUSG00000038751,0.5945765227642553,0.0,0.0,0.5903190175138511,0.5988009449298999,Ptk6
ENSMUSG00000028786,0.5882864482249089,0.0,0.0,0.5839801219166838,0.5925596647238877,Tmem54
ENSMUSG00000028841,0.587401729463061,0.0,0.0,0.5830885784458001,0.591681767879341,Cnksr1
ENSMUSG00000039728,0.5786006284849714,0.0,0.0,0.5742201515627026,0.5829479779054061,Slc6a5
ENSMUSG00000043088,0.5769266893146737,0.0,0.0,0.5725335235836257,0.5812867273401539,Il17re
ENSMUSG00000041523,0.5717335018314291,0.0,0.0,0.5673012072590389,0.5761326733677858,Upk2
ENSMUSG00000027376,0.5646602558820119,0.0,0.0,0.5601752424778468,0.5691121654044062,Prom2
ENSMUSG00000099957,0.5615452598187101,0.0,0.0,0.5570372400165231,0.5660201888123557,2610027F03Rik
ENSMUSG00000040680,0.5611754736508329,0.0,0.0,0.5566647312695889,0.5656531269626243,Kremen2
ENSMUSG00000056078,0.5611590912499749,0.0,0.0,0.5566482282940076,0.5656368652144522,Lipm
ENSMUSG00000020871,0.5589230858282807,0.0,0.0,0.554395799241969,0.5634172947928496,Dlx4
ENSMUSG00000046719,0.55862360597233,0.0,0.0,0.5540941247198621,0.5631200112355734,Nxph3
ENSMUSG00000006411,0.5563991963887164,0.0,0.0,0.5518534513198632,0.5609118784028435,Nectin4
ENSMUSG00000051397,0.5545197976481628,0.0,0.0,0.5499603624680355,0.5590461818101526,Tacstd2
ENSMUSG00000021553,0.5505763586145659,0.0,0.0,0.5459883505046789,0.555131344245601,Slc28a3
ENSMUSG00000062157,0.5475708877930764,0.0,0.0,0.5429612414727087,0.5521475363563094,Ifnlr1
ENSMUSG00000025856,0.5473919504109258,0.0,0.0,0.5427810195900566,0.5519698850272229,Pdgfa
ENSMUSG00000035498,0.5448793035987024,0.0,0.0,0.5402503806077376,0.5494752531407574,Cdcp1
ENSMUSG00000027315,0.5429444324902631,0.0,0.0,0.5383017116341949,0.5475541986315919,Spint1
ENSMUSG00000049093,0.5401725550603498,0.0,0.0,0.5355101540197077,0.5448020300526809,Il23r
ENSMUSG00000032013,0.5392730801837016,0.0,0.0,0.5346043148128151,0.5439089292696526,Trim29
ENSMUSG00000023391,0.5350915082890002,0.0,0.0,0.5303932966203655,0.5397568520141066,Dlx2
ENSMUSG00000039457,0.5329455190012187,0.0,0.0,0.5282322854655702,0.5376259112806773,Ppl
ENSMUSG00000074647,0.5318300248175627,0.0,0.0,0.5271090069703428,0.5365182157817424,Fam83c
ENSMUSG00000024479,0.5316319902714793,0.0,0.0,0.526909592193734,0.5363215640536012,Mal2
ENSMUSG00000036899,0.5312405990307809,0.0,0.0,0.5265154746241928,0.5359329042871244,Trpv5
ENSMUSG00000006764,0.5290811010692362,0.0,0.0,0.524340970680731,0.533788441451845,Tph2
ENSMUSG00000030994,0.5276465974809716,0.0,0.0,0.5228965331465083,0.532363891874067,D7Ertd443e
ENSMUSG00000027186,0.5275673525808218,0.0,0.0,0.5228167402700671,0.5322851960749706,Elf5
ENSMUSG00000026875,0.526924114252083,0.0,0.0,0.5221690570464369,0.5316464118342057,Traf1
ENSMUSG00000031535,0.5260320348343411,0.0,0.0,0.5212708222743663,0.5307605007065923,Dkk4
ENSMUSG00000039092,0.525069436212663,0.0,0.0,0.5203015935485528,0.5298045463899022,Sptlc3
ENSMUSG00000028736,0.5245324206529053,0.0,0.0,0.5197608845167574,0.5292712323337778,Pax7
ENSMUSG00000030739,0.5226874979634811,0.0,0.0,0.5179033019907083,0.5274389976682831,Myh14
