,Foregut/Placodes_corr,Foregut/Placodes_pval,Foregut/Placodes_qval,Foregut/Placodes_ci_low,Foregut/Placodes_ci_high,gene_annotation
ENSMUSG00000000627,0.6965289738701453,0.0,0.0,0.6914903529759328,0.7014998254414155,Sema4f
ENSMUSG00000020098,0.6834274783115803,0.0,0.0,0.6782125887561861,0.6885735383427217,Pcbd1
ENSMUSG00000023906,0.6824192177439357,0.0,0.0,0.6771909040444758,0.687578625873235,Cldn6
ENSMUSG00000047586,0.682267796638999,0.0,0.0,0.6770374686356613,0.6874292077195286,Nccrp1
ENSMUSG00000034164,0.681116388931157,0.0,0.0,0.6758707590133508,0.6862930161804613,Emid1
ENSMUSG00000003051,0.6643849610635317,0.0,0.0,0.6589199409354723,0.6697798471865394,Elf3
ENSMUSG00000037025,0.6539690871482068,0.0,0.0,0.6483702916848093,0.6594971511562969,Foxa2
ENSMUSG00000002771,0.6539498140533293,0.0,0.0,0.6483507730503916,0.659478122570424,Grin2d
ENSMUSG00000030917,0.652497831319411,0.0,0.0,0.6468803131967826,0.6580445401098756,Tmem159
ENSMUSG00000044881,0.6518545630073781,0.0,0.0,0.6462288723647278,0.657409410771623,Coa4
ENSMUSG00000049555,0.650660722098597,0.0,0.0,0.6450198858127234,0.6562306540579306,Tmie
ENSMUSG00000042124,0.6505241632425637,0.0,0.0,0.6448815963047501,0.6560958188920761,Lce1f
ENSMUSG00000093989,0.647056130356091,0.0,0.0,0.6413697358137528,0.6526714414125575,Rnasek
ENSMUSG00000028786,0.6434002221863444,0.0,0.0,0.637667883721895,0.6490613051920087,Tmem54
ENSMUSG00000011305,0.6433973142411978,0.0,0.0,0.6376649393378829,0.649058433552827,Plin5
ENSMUSG00000060969,0.6427912914855086,0.0,0.0,0.6370513262899316,0.6484599735271562,Irx1
ENSMUSG00000053398,0.6417781486228337,0.0,0.0,0.6360255102983661,0.6474594583127703,Phgdh
ENSMUSG00000052271,0.6388487134959634,0.0,0.0,0.6330595460434024,0.6445664250079217,Bhlha15
ENSMUSG00000039168,0.6379840897243811,0.0,0.0,0.6321841731733773,0.6437125139497538,Dap
ENSMUSG00000024953,0.6343329663687363,0.0,0.0,0.6284878219121803,0.6401064708081432,Prdx5
ENSMUSG00000021803,0.6343204312363144,0.0,0.0,0.6284751319568636,0.6400940900081049,Cdhr1
ENSMUSG00000030431,0.6298145948624748,0.0,0.0,0.6239138450437353,0.635643535160174,Tmem238
ENSMUSG00000035775,0.6286586661890847,0.0,0.0,0.6227437558663687,0.6345017259729813,Krt20
ENSMUSG00000026473,0.6255861498398406,0.0,0.0,0.6196337288036984,0.631466615935555,Glul
ENSMUSG00000024164,0.6249832488995167,0.0,0.0,0.6190234893030561,0.6308710338564031,C3
ENSMUSG00000073609,0.6244404605216628,0.0,0.0,0.6184741002157036,0.6303348286733632,D2hgdh
ENSMUSG00000024914,0.6235802760534338,0.0,0.0,0.6176034672117197,0.6294850654116307,Drap1
ENSMUSG00000030909,0.622437182803483,0.0,0.0,0.6164465116406611,0.6283557989745518,Anks4b
ENSMUSG00000010607,0.6212500433749206,0.0,0.0,0.6152450031228593,0.6271829927349203,Pigyl
ENSMUSG00000074457,0.620309576157811,0.0,0.0,0.61429317233207,0.6262538613556365,S100a16
ENSMUSG00000035451,0.6192604046474267,0.0,0.0,0.6132313444451708,0.6252173160141142,Foxa1
ENSMUSG00000054452,0.6175544700795804,0.0,0.0,0.6115048773463512,0.6235318665096107,Aes
ENSMUSG00000058818,0.6164428878714241,0.0,0.0,0.6103799471936374,0.6224336024130946,Pirb
ENSMUSG00000001482,0.6164212919226598,0.0,0.0,0.6103580921616347,0.6224122649765288,Def8
ENSMUSG00000042305,0.6146488778691777,0.0,0.0,0.6085644461993661,0.6206610370758316,Tmem183a
ENSMUSG00000034424,0.6138057379815889,0.0,0.0,0.6077112280856586,0.619827954417008,Gcsh
ENSMUSG00000050224,0.6128459779380783,0.0,0.0,0.6067400129537986,0.6188796261623076,Krtap13
ENSMUSG00000006378,0.6127221853433308,0.0,0.0,0.6066147441763179,0.6187573067916774,Gcat
ENSMUSG00000035674,0.6120522013391559,0.0,0.0,0.6059367761132226,0.6180952910186336,Ndufa3
ENSMUSG00000015093,0.6104604503666463,0.0,0.0,0.6043260922009623,0.6165224366307155,Clic3
ENSMUSG00000078570,0.6075771554461173,0.0,0.0,0.6014086298530874,0.6136732477462188,1110065P20Rik
ENSMUSG00000024640,0.6071217967435506,0.0,0.0,0.6009478901310982,0.6132232608919075,Psat1
ENSMUSG00000042417,0.6067643182294231,0.0,0.0,0.6005861901323423,0.6128699967626187,Ccno
ENSMUSG00000020429,0.6056688205299171,0.0,0.0,0.59947777138424,0.6117873989016263,Igfbp1
ENSMUSG00000079259,0.6042370790427372,0.0,0.0,0.5980291787562414,0.6103724820773203,Trim71
ENSMUSG00000048277,0.6028974313658233,0.0,0.0,0.5966738005819598,0.60904854139484,Syngr2
ENSMUSG00000031487,0.6027717969068038,0.0,0.0,0.5965466927109956,0.6089243782065835,Brf2
ENSMUSG00000030674,0.6023876826521374,0.0,0.0,0.596158075589914,0.6085447603387933,Qprt
ENSMUSG00000024386,0.6022855337918481,0.0,0.0,0.5960547297578158,0.6084438067441521,Proc
ENSMUSG00000062116,0.6021691328526476,0.0,0.0,0.5959369650937877,0.6083287675942565,Zfp954
ENSMUSG00000037278,0.6015151868034846,0.0,0.0,0.5952753625565461,0.6076824673312391,Tmem97
ENSMUSG00000043681,0.6011779743971807,0.0,0.0,0.5949342053283545,0.6073491943422847,Fam25c
ENSMUSG00000024082,0.6009820602059511,0.0,0.0,0.5947360003015113,0.6071555678823325,Ndufaf7
ENSMUSG00000023020,0.6009229376446533,0.0,0.0,0.5946761865659449,0.6070971355636211,Cox14
ENSMUSG00000025940,0.6008082640353021,0.0,0.0,0.5945601725580923,0.6069838005524779,Tmem70
ENSMUSG00000024479,0.6005834359623232,0.0,0.0,0.5943327172665965,0.6067615961943743,Mal2
ENSMUSG00000027913,0.6002947559743496,0.0,0.0,0.5940406653877102,0.6064762836490972,Crct1
ENSMUSG00000031700,0.6001509104932491,0.0,0.0,0.5938951403526748,0.606334115526619,Gpt2
ENSMUSG00000044912,0.5997065232291918,0.0,0.0,0.5934455669650464,0.6058949076929956,Syt16
ENSMUSG00000060621,0.5991353941310895,0.0,0.0,0.5928677783676779,0.6053304296892763,Nkpd1
ENSMUSG00000041309,0.5974632548798399,0.0,0.0,0.5911761786827744,0.6036777275373678,Nkx6-2
ENSMUSG00000021576,0.597253772057458,0.0,0.0,0.5909642617883314,0.603470675997383,Pdcd6
ENSMUSG00000025355,0.5967204483002,0.0,0.0,0.5904247450285418,0.602943538274545,Mmp19
ENSMUSG00000053559,0.5966543934100705,0.0,0.0,0.5903579234947871,0.6028782491784017,Smagp
ENSMUSG00000042041,0.5964861983021368,0.0,0.0,0.5901877766771991,0.6027120036300182,2010003K11Rik
ENSMUSG00000025481,0.5964859226990828,0.0,0.0,0.5901874978765498,0.6027117312210521,Urah
ENSMUSG00000001249,0.5960028704217624,0.0,0.0,0.5896988434504007,0.6022342750239663,Hpn
ENSMUSG00000024875,0.5951617195337966,0.0,0.0,0.5888479484183807,0.6014028580889441,Yif1a
ENSMUSG00000096145,0.5942657512651711,0.0,0.0,0.5879416163777225,0.6005172432622231,Vkorc1
ENSMUSG00000024039,0.5942009347288215,0.0,0.0,0.587876050716644,0.600453175124286,Cbs
ENSMUSG00000030693,0.5941588673392036,0.0,0.0,0.5878334971726994,0.6004115934191137,Klk10
ENSMUSG00000011884,0.5940672197402163,0.0,0.0,0.5877407905639003,0.6003210038103878,Gltp
ENSMUSG00000068889,0.5939749025060476,0.0,0.0,0.5876474067500854,0.6002297521345851,Lce1e
ENSMUSG00000027912,0.5933088814375831,0.0,0.0,0.5869736958564391,0.5995714136933163,Lce1m
ENSMUSG00000037600,0.5925891721199222,0.0,0.0,0.5862456866965223,0.5988599967751423,Kdf1
ENSMUSG00000015312,0.5920310183012691,0.0,0.0,0.5856811031818288,0.5983082671201009,Gadd45b
ENSMUSG00000018821,0.5919497065377134,0.0,0.0,0.5855988552553321,0.5982278907309792,Avpi1
ENSMUSG00000081058,0.5916545866684813,0.0,0.0,0.5853003386948629,0.5979361647283865,Hist2h3c2
ENSMUSG00000096995,0.5905570518792682,0.0,0.0,0.5841901869103707,0.596851236942384,2810029C07Rik
ENSMUSG00000030895,0.5902570253288404,0.0,0.0,0.5838867154735163,0.5965546526873571,Hpx
ENSMUSG00000035561,0.5900627355098251,0.0,0.0,0.5836901957804477,0.5963625910966507,Aldh1b1
ENSMUSG00000030246,0.588125869862668,0.0,0.0,0.5817311414457683,0.5944478991101272,Ldhb
ENSMUSG00000035329,0.5878989619788102,0.0,0.0,0.5815016389654014,0.5942235842262078,Fbxo33
ENSMUSG00000072949,0.5875417122848579,0.0,0.0,0.5811403063345196,0.5938704150250521,Acot1
ENSMUSG00000079605,0.5872480280280986,0.0,0.0,0.5808432675080505,0.5935800833924335,Zbtb9
ENSMUSG00000003657,0.5870802640683316,0.0,0.0,0.5806735880520272,0.5934142338433122,Calb2
ENSMUSG00000001666,0.5869085707846717,0.0,0.0,0.5804999349841391,0.593244499252241,Ddt
ENSMUSG00000020709,0.5866662758162111,0.0,0.0,0.5802548753439296,0.5930049674483727,Adap2
ENSMUSG00000021950,0.5865879844203805,0.0,0.0,0.5801756908636044,0.5929275686583864,Anxa8
ENSMUSG00000036805,0.5863858765183168,0.0,0.0,0.5799712780395011,0.5927277644615792,Noxa1
ENSMUSG00000089661,0.5863766799516829,0.0,0.0,0.579961976610635,0.5927186727024559,Mia
ENSMUSG00000052253,0.5861304092976312,0.0,0.0,0.5797128985208652,0.5924752080396718,Zfp622
ENSMUSG00000103243,0.5861178569376467,0.0,0.0,0.579700203098635,0.5924627986693896,Lce1d
ENSMUSG00000039518,0.5843309905884237,0.0,0.0,0.5778930031975986,0.5906962566124941,Cdsn
ENSMUSG00000030688,0.5832026862506647,0.0,0.0,0.5767518919002816,0.589580754477476,Stard10
ENSMUSG00000003438,0.582443681163566,0.0,0.0,0.5759842857934161,0.5888303476839749,Timm50
ENSMUSG00000033735,0.5823726067598122,0.0,0.0,0.5759124065602194,0.5887600778738697,Spr
ENSMUSG00000061100,0.5822894729431668,0.0,0.0,0.5758283314829846,0.5886778850462442,Retnla
ENSMUSG00000004038,0.5818040757064088,0.0,0.0,0.5753374411930229,0.5881979793681428,Gstm3
ENSMUSG00000068078,0.5814193293325389,0.0,0.0,0.5749483441026838,0.5878175826365316,2310034C09Rik
ENSMUSG00000059734,0.5802909651822814,0.0,0.0,0.5738072372763424,0.586701958574499,Ndufs8
ENSMUSG00000068885,0.5802887797548719,0.0,0.0,0.573805027193211,0.5866997977986127,Lce3f
ENSMUSG00000031637,0.5796615985224419,0.0,0.0,0.5731707740817811,0.586079687369993,Lrp2bp
ENSMUSG00000023904,0.5778978916895475,0.0,0.0,0.5713872219851234,0.584335824162138,Hcfc1r1
ENSMUSG00000038453,0.5777535405186365,0.0,0.0,0.5712412492947161,0.5841930944669226,Srcin1
ENSMUSG00000026172,0.5771031442155694,0.0,0.0,0.5705835520968479,0.5835499990305623,Bcs1l
ENSMUSG00000022562,0.5765840033215494,0.0,0.0,0.5700585896912609,0.5830366798243428,Oplah
ENSMUSG00000021124,0.5761308599446708,0.0,0.0,0.5696003692369389,0.5825886138227594,Vti1b
ENSMUSG00000111497,0.5761261392509751,0.0,0.0,0.5695955956733408,0.582583946002775,RP23-186O3.11
ENSMUSG00000044433,0.5761034068919848,0.0,0.0,0.5695726087270894,0.5825614682495921,Camsap3
ENSMUSG00000001100,0.5755539272934718,0.0,0.0,0.5690169784313873,0.5820181398992222,Poldip2
ENSMUSG00000059832,0.5749939142766941,0.0,0.0,0.5684507029512287,0.5814643901100754,Kprp
ENSMUSG00000020482,0.5749240580796733,0.0,0.0,0.5683800660074999,0.5813953147694425,Ccdc117
ENSMUSG00000048779,0.5748739635518725,0.0,0.0,0.5683294116583754,0.5813457801435764,P2ry6
ENSMUSG00000028943,0.5746396877194062,0.0,0.0,0.5680925183819422,0.5811141221537782,Espn
ENSMUSG00000041355,0.5744930743477641,0.0,0.0,0.5679442675261057,0.5809691465340371,Ssr2
ENSMUSG00000028199,0.5738392790827677,0.0,0.0,0.5672831753750005,0.5803226495193223,Cryz
ENSMUSG00000058354,0.5736500473945743,0.0,0.0,0.5670918332842548,0.580135528680433,Krt6a
ENSMUSG00000006418,0.5731284413596368,0.0,0.0,0.5665644137133284,0.579619737533488,Rnf114
ENSMUSG00000029032,0.572917596271809,0.0,0.0,0.5663512201876896,0.5794112414801694,Arhgef16
ENSMUSG00000019312,0.5727151321712227,0.0,0.0,0.5661465018255929,0.5792110322412521,Grb7
ENSMUSG00000008601,0.5727057061485391,0.0,0.0,0.5661369708720927,0.579201711177975,Rab25
ENSMUSG00000031919,0.5727016315191316,0.0,0.0,0.5661328508843106,0.5791976819193185,Tmed6
ENSMUSG00000021539,0.5725614294053778,0.0,0.0,0.5659910882543185,0.5790590407542285,Lect2
ENSMUSG00000028773,0.5721970778049593,0.0,0.0,0.5656226830641571,0.578698743926987,Fabp3
ENSMUSG00000020534,0.5721385836823342,0.0,0.0,0.5655635384102687,0.5786409005336419,Shmt1
ENSMUSG00000028307,0.5721353165013933,0.0,0.0,0.5655602348959905,0.578637669697164,Aldob
ENSMUSG00000047557,0.571699103950066,0.0,0.0,0.5651191732506924,0.5782063077873982,Lxn
ENSMUSG00000015994,0.5716802167439368,0.0,0.0,0.5651000761726107,0.5781876305230159,Fnta
ENSMUSG00000047517,0.5716073747707622,0.0,0.0,0.5650264248558114,0.5781155981648063,Dmbt1
ENSMUSG00000096215,0.5715443144883259,0.0,0.0,0.5649626639983412,0.5780532386950842,Smim22
ENSMUSG00000039682,0.570254512128236,0.0,0.0,0.5636585496846559,0.5767777537149615,Lap3
ENSMUSG00000043388,0.5702196497693376,0.0,0.0,0.5636233009411423,0.5767432779022896,Tmem130
ENSMUSG00000035910,0.5691250153654197,0.0,0.0,0.562516546763184,0.575660768746241,Dcdc2a
ENSMUSG00000053783,0.5688731829109988,0.0,0.0,0.5622619293750329,0.5754117225943218,1700016K19Rik
ENSMUSG00000048572,0.568782241081141,0.0,0.0,0.5621699821569304,0.5753217866570544,Tmem252
ENSMUSG00000006538,0.5684971322473189,0.0,0.0,0.5618817224219989,0.5750398303400678,Ihh
ENSMUSG00000021795,0.568064163242413,0.0,0.0,0.5614439715009792,0.5746116458051257,Sftpd
ENSMUSG00000090314,0.5675879646423365,0.0,0.0,0.5609625178149928,0.5741407052392213,2310050C09Rik
ENSMUSG00000003235,0.5668207165121458,0.0,0.0,0.5601868121519173,0.5733819196990684,Eif2b5
ENSMUSG00000044279,0.5666679535586477,0.0,0.0,0.5600323666500191,0.5732308403460538,Crb3
ENSMUSG00000005251,0.5663700531581021,0.0,0.0,0.5597311864675248,0.5729362218222315,Ripk4
ENSMUSG00000048373,0.566238843991776,0.0,0.0,0.5595985332893407,0.5728064576084796,Fgfbp1
ENSMUSG00000020607,0.5661338915590619,0.0,0.0,0.5594924260560504,0.572702660736764,Fam84a
ENSMUSG00000020089,0.5659327577002928,0.0,0.0,0.5592890797126233,0.5725037408397068,Ppa1
ENSMUSG00000037190,0.5657068193974439,0.0,0.0,0.5590606570282234,0.572280288608575,Cyb561d2
ENSMUSG00000032492,0.5654617383027061,0.0,0.0,0.5588128822015551,0.5720379031161558,Pth1r
ENSMUSG00000046818,0.5651672436002979,0.0,0.0,0.5585151522232483,0.5717466459880828,Ddit4l
ENSMUSG00000074649,0.5649097549106848,0.0,0.0,0.5582548362048427,0.5714919866824186,BC029722
ENSMUSG00000021486,0.5648846655803853,0.0,0.0,0.5582294714537179,0.5714671729754665,Prelid1
ENSMUSG00000006304,0.5648235746342467,0.0,0.0,0.5581677099271629,0.5714067531045594,Arpc2
ENSMUSG00000022180,0.5647668242507673,0.0,0.0,0.5581103366746465,0.5713506260519164,Slc7a8
ENSMUSG00000049128,0.56428041802129,0.0,0.0,0.5576185944595775,0.5708695598506713,Ivl
ENSMUSG00000026304,0.5636009425295775,0.0,0.0,0.5569316727968189,0.5701975364306828,Rab17
ENSMUSG00000048497,0.5635441129635186,0.0,0.0,0.556874220865806,0.57014132973647,Mmgt2
ENSMUSG00000029829,0.5631354963680879,0.0,0.0,0.5564611312140093,0.5697371899028157,Tmem213
ENSMUSG00000026548,0.5628534423314835,0.0,0.0,0.5561759915046931,0.5694582241588377,Slamf9
ENSMUSG00000074890,0.5628236231527283,0.0,0.0,0.5561458461958474,0.5694287313901222,Lcmt2
ENSMUSG00000018569,0.5627770309920613,0.0,0.0,0.5560987444954395,0.5693826492077501,Cldn7
ENSMUSG00000020775,0.5624188057070689,0.0,0.0,0.5557366030310635,0.5690283435202341,Mrpl38
ENSMUSG00000054474,0.5624001593272583,0.0,0.0,0.5557177528753103,0.5690099010965262,Thnsl2
ENSMUSG00000057286,0.5621317754422503,0.0,0.0,0.5554464367328286,0.5687444520866554,St6galnac2
ENSMUSG00000068099,0.562113571604062,0.0,0.0,0.555428034058163,0.568726447264157,1500009C09Rik
ENSMUSG00000074064,0.5621083919395741,0.0,0.0,0.5554227978185482,0.5687213242258271,Mlycd
ENSMUSG00000006642,0.5619345728703983,0.0,0.0,0.555247080509901,0.5685494051185414,Tcf23
